#   nzt =   1
#    zt = 0.6900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36462100E+01
#    Te =  0.25000000E-01
#   rho =  0.93210000E+01
#  zbar =  0.45712564E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.83369490E+01  0.67272820E-01
 0.11233240E-02  0.88126602E+01  0.71305928E-01
 0.12618569E-02  0.93155608E+01  0.75591655E-01
 0.14174742E-02  0.98426186E+01  0.80147094E-01
 0.15922828E-02  0.10399472E+02  0.84990262E-01
 0.17886495E-02  0.10981047E+02  0.90141021E-01
 0.20092330E-02  0.11594968E+02  0.95620539E-01
 0.22570197E-02  0.12233967E+02  0.10145216E+00
 0.25353645E-02  0.12907761E+02  0.10766085E+00
 0.28480359E-02  0.13607182E+02  0.11427400E+00
 0.31992671E-02  0.14343791E+02  0.12132099E+00
 0.35938137E-02  0.15106484E+02  0.12883402E+00
 0.40370173E-02  0.15908690E+02  0.13684766E+00
 0.45348785E-02  0.16735899E+02  0.14540025E+00
 0.50941380E-02  0.17604553E+02  0.15453299E+00
 0.57223677E-02  0.18496523E+02  0.16429170E+00
 0.64280731E-02  0.19431553E+02  0.17472560E+00
 0.72208090E-02  0.20384059E+02  0.18589061E+00
 0.81113083E-02  0.21379902E+02  0.19784722E+00
 0.91116276E-02  0.22388838E+02  0.21066320E+00
 0.10235310E-01  0.23441409E+02  0.22441174E+00
 0.11497570E-01  0.24496736E+02  0.23917675E+00
 0.12915497E-01  0.25593954E+02  0.25504954E+00
 0.14508288E-01  0.26686028E+02  0.27213329E+00
 0.16297508E-01  0.27818702E+02  0.29054294E+00
 0.18307383E-01  0.29031794E+02  0.31037048E+00
 0.20565123E-01  0.30323681E+02  0.33169852E+00
 0.23101297E-01  0.31553282E+02  0.35467937E+00
 0.25950242E-01  0.32806261E+02  0.37950869E+00
 0.29150531E-01  0.34301968E+02  0.40626124E+00
 0.32745492E-01  0.35968713E+02  0.43493160E+00
 0.36783798E-01  0.37081646E+02  0.46590238E+00
 0.41320124E-01  0.37975005E+02  0.49976961E+00
 0.46415888E-01  0.38487832E+02  0.53712284E+00
 0.52140083E-01  0.38876091E+02  0.57859971E+00
